LogName,signature_severity,EventCode,signature,state_type,state,more_info
Application,low,1001,"A warning message. For details, see Searching For a Broken Feature or Component.",error,Failed,"Detection of product '%1', feature '%2' failed during request for component '%3'"
Application,low,1002,Error message that there was an unexpected or missing value.,error,Failed,"Unexpected or missing value (name: '%1', value: '%2') in key '%3'. Error message that there was an unexpected or missing value."
System,low,1003,Error message that there was an unexpected or missing subkey.,error,Failed,Unexpected or missing subkey '%1' in key '%2'
Application,low,1004,A warning message. Detection Failed missing resource.,install,Failed Install,"Detection of product '%1', feature '%2', component '%3' failed Note: Beginning with Windows Installer version 2.0, this message is: Detection of product '%1', feature '%2', component '%3' failed. The resource '%4' does not exist."
Application,medium,1005,Install operation initiated a reboot,install,Success Install With Reboot,Install operation initiated a reboot
Application,medium,1006,Warning message. A cabinet was authored in the MsiDigitalSignature table to have a WinVerifyTrust check performed.  WinVerifyTrust is not available on the computer.,error,Warning,Verification of the digital signature for cabinet '%1' cannot be performed. WinVerifyTrust is not available on the computer.
Application,medium,1007,An error message indicating that the administrator has configured software restriction policy to disallow this install.,error,Policy Violation,The installation of %1 is not permitted by software restriction policy. The Windows Installer only allows execution of unrestricted items. The authorization level returned by software restriction policy was %2.
Application,medium,1008,An error message indicating that there were problems attempting to verify the package according to software restriction policy.,error,Policy Violation,The installation of %1 is not permitted due to an error in software restriction policy processing. The object cannot be trusted.
Application,medium,1012,Error message indicating that scripts for 64-bit packages can only be executed on a 64-bit computer.,error,Incompatible,This version of Windows does not support deploying 64-bit packages. The script '%1' is for a 64-bit package.
Application,medium,1013,"Error message for an unhandled exception, this is the report.",error,Failed,{Unhandled exception report}
Application,low,1014,Windows Installer proxy information not registered correctly,install,Failed,Windows Installer proxy information not registered correctly
Application,low,1015,Informational message that the installation failed to connect to server.,install,Failed,Failed to connect to server. Error: %d
Application,low,1016,Detection of product component failed. The resource in a run-from-source component could not be located because no valid and accessible source could be found.,error,Failed,"Detection of product '%1', feature '%2', component '%3' failed. The resource '%4' in a run-from-source component could not be located because no valid and accessible source could be found."
Application,low,1017,Error message indicating that an error occurred while attempting to update the user's registration after the user's SID changed.,error,Failed Update,User SID had changed from '%1' to '%2' but the managed app and the user data keys cannot be updated. Error = '%3'.
Application,low,1018,Error message indicating that the installation is incompatible with the currently running version of Windows,install,Incompatible,The application '%1' cannot be installed because it is not compatible with this version of Windows.
Application,low,1019,Informational message that the installer has removed the update.,install,Removed Update,Product: %1 - Update '%2' was successfully removed.
Application,low,1020,Error message indicating that the installer was unable to remove the update. Additional information is available in the log file.,install,Failed Update Removal,Product: %1 - Update '%2' could not be removed. Error code %3. Additional information is available in the log file %4.
Application,low,1021,Error message indicating that the installer was unable to remove the update.  Logging not enabled.,install,Failed Update Removal,Product: %1 - Update '%2' could not be removed. Error code %3.
Application,low,1022,Informational message that the installer has installed the update successfully.,install,Success Update,Product: %1 - Update '%2' installed successfully.
Application,low,1023,Error message indicating that the installer was unable to install the update. Additional information is available in the log file.,install,Failed Update,Product: %1 - Update '%2' could not be installed. Error code %3. Additional information is available in the log file %4.
Application,low,1024,Error message indicating that the installer was unable to install the update. Logging not enabled.,install,Failed Update,Product: %1 - Update '%2' could not be installed. Error code %3.
Application,low,1025,Warning - Windows Installer being used by another process.,install,Failed,"Product: %1. The file %2 is being used by the following process: Name: %3 , Id %4."
Application,low,1026,Windows Installer has determined that its configuration data registry key was not secured properly.,install,Failed,Windows Installer has determined that its configuration data registry key was not secured properly. The owner of the key must be either Local System or Builtin\Administrators. The existing key will be deleted and re-created with the appropriate security settings.
Application,low,1027,Windows Installer has determined that a registry sub key within its configuration data was not secured properly.,install,Failed,Windows Installer has determined that a registry sub key %1 within its configuration data was not secured properly. The owner of the key must be either Local System or Builtin\Administrators. The existing sub key and all of its contents will be deleted.
Application,low,1028,Windows Installer has determined that its configuration data cache folder was not secured properly. ,install,Failed,Windows Installer has determined that its configuration data cache folder was not secured properly. The owner of the key must be either Local System or Builtin\Administrators. The existing folder will be deleted and re-created with the appropriate security settings.
Application,medium,1029,Warning message indicatiing that a system restart is required to complete the installation and the restart has been deferred to a later time.,install,Pending Reboot,Product: %1. Restart required.
Application,medium,1030,Warning message indicating that the installation tried to replace a critical file that is protected by Windows Resource Protection.,install,Policy Violation,"Product: %1. The application tried to install a more recent version of the protected Windows file %2. You may need to update your operating system for this application to work correctly. (Package Version: %3, Operating System Protected Version: %4)."
Application,medium,1031,Warning message indicating that the installation tried to update an assembly currently in use. The system must be restarted to complete the update of this assembly.,install,Pending Reboot,Product: %1. The assembly '%2' for component '%3' is in use.
Application,medium,1032,Warning message indicating that some users who are logged on to the computer may need to log off and back on to complete the update of environment variables.,info,Failed,"An error occurred while refreshing environment variables updated during the installation of '%1'. Field 1 - ProductName, Field 2 - ProductVersion, Field 3 - ProductLanguage, Field 4 - Status, Field 5 - Manufacturer"
Application,low,1033,Installation completed,install,Success Install,Product: %1. Version: %2. Language: %3. Installation completed with status: %4. Manufacturer: %5.
Application,low,1034,Removal completed with status:,install,Success Removal,Product: %1. Version: %2. Language: %3. Removal completed with status: %4. Manufacturer: %5.
Application,low,1035,Configuration change completed,install,Success Configuration,Product: %1. Version: %2. Language: %3. Configuration change completed with status: %4. Manufacturer: %5.
Application,low,1036,Update installation completed,install,Success Update,"Product: %1. Version: %2. Language: %3. Update: %4. Update installation completed with status: %5. Manufacturer: %6. This is the user friendly name if the MsiPatchMetadata Table is present in the patch package. Otherwise, this is the patch code GUID of the patch."
Application,low,1037,Update removal completed ,install,Success Update Removal,"Product: %1. Version: %2. Language: %3. Update: %4. Update removal completed with status: %5. Manufacturer: %6. Field 4 - This is the user friendly name if the MsiPatchMetadata Table is present in the patch package. Otherwise, this is the patch code GUID of the patch."
