EventCode,LogName,"Windows_OS_Support","more_info",signature,"signature_severity",state
1,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,EMET,LOW,NA
2,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,EMET,LOW,NA
865,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"SRP Block",LOW,NA
866,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"SRP Block",LOW,NA
867,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"SRP Block",LOW,NA
868,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"SRP Block",LOW,NA
882,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"SRP Block",LOW,NA
1000,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"App Error",LOW,Error
1001,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Detection of product '%1', feature '%2' failed during request for component '%3'","Windows Error Reporting",LOW,Failed
1002,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Unexpected or missing value (name: '%1', value: '%2') in key '%3'. Error message that there was an unexpected or missing value.","App Hang",LOW,Failed
1022,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Product: %1 - Update '%2' installed successfully.","Update Installation Completed",LOW,"Success Update"
1033,Application,"Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)","Product: %1. Version: %2. Language: %3. Installation completed with status: %4. Manufacturer: %5.","Installation Completed",LOW,"Success Install"
8006,"Microsoft-Windows-AppLocker/MSI and Script","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"AppLocker Warning",MEDIUM,NA
8007,"Microsoft-Windows-AppLocker/MSI and Script","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"AppLocker Warning",MEDIUM,NA
8003,"Microsoft-Windows-AppLocker_EXE and DLL","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"AppLocker Block",LOW,NA
8004,"Microsoft-Windows-AppLocker_MSI and Script","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"AppLocker Block",LOW,NA
800,"Microsoft-Windows-Application-Experience/Program-Inventory","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"Summary of Software Activities",LOW,NA
903,"Microsoft-Windows-Application-Experience/Program-Inventory","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"New Application Installation",LOW,NA
904,"Microsoft-Windows-Application-Experience/Program-Inventory","Windows 7-Vista(8 10) - Windows Server (2008 2012R2 2016 2019)",,"New Application Installation",LOW,NA
