"input_stanza","input_key","input_value","input_setting_example","can_edit",enabled,"input_description","input_stanza_type","input_stanza_type_sub","recommended_value","setting_id","special_config_notes","target_group","win_vers_filt","_mkv_child"
"WinRegMon://hklm_run","disabled "," 1","[WinRegMon://hklm_run]#SEP#disabled = 1#SEP#hive = \\REGISTRY\\MACHINE\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\.*#SEP#proc = .*#SEP#type = set|create|delete|rename",false,0,"WinRegMon - Registry Data ",WinRegMon,"hklm_run","1
hive = \\REGISTRY\\MACHINE\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\.*
proc = .*
type = set|create|delete|rename","WinRegMon://hklm_run#disabled ","","AD/DNS or Base Windows","",0
"WinRegMon://hklm_run","hive "," \\REGISTRY\\MACHINE\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\.*","[WinRegMon://hklm_run]#SEP#disabled = 1#SEP#hive = \\REGISTRY\\MACHINE\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\.*#SEP#proc = .*#SEP#type = set|create|delete|rename",false,0,"WinRegMon - Registry Data ",WinRegMon,"hklm_run","1
hive = \\REGISTRY\\MACHINE\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\.*
proc = .*
type = set|create|delete|rename","WinRegMon://hklm_run#hive ","","AD/DNS or Base Windows","",1
"WinRegMon://hklm_run","proc "," .*","[WinRegMon://hklm_run]#SEP#disabled = 1#SEP#hive = \\REGISTRY\\MACHINE\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\.*#SEP#proc = .*#SEP#type = set|create|delete|rename",false,0,"WinRegMon - Registry Data ",WinRegMon,"hklm_run","1
hive = \\REGISTRY\\MACHINE\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\.*
proc = .*
type = set|create|delete|rename","WinRegMon://hklm_run#proc ","","AD/DNS or Base Windows","",2
"WinRegMon://hklm_run","type "," set|create|delete|rename","[WinRegMon://hklm_run]#SEP#disabled = 1#SEP#hive = \\REGISTRY\\MACHINE\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\.*#SEP#proc = .*#SEP#type = set|create|delete|rename",false,0,"WinRegMon - Registry Data ",WinRegMon,"hklm_run","1
hive = \\REGISTRY\\MACHINE\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\.*
proc = .*
type = set|create|delete|rename","WinRegMon://hklm_run#type ","","AD/DNS or Base Windows","",3
"WinRegMon://hkcu_run","disabled "," 1","[WinRegMon://hkcu_run]#SEP#disabled = 1#SEP#hive = \\REGISTRY\\USER\\.*\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\.*#SEP#proc = .*#SEP#type = set|create|delete|rename",false,0,"WinRegMon - Registry Data ",WinRegMon,"hkcu_run","1
hive = \\REGISTRY\\USER\\.*\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\.*
proc = .*
type = set|create|delete|rename","WinRegMon://hkcu_run#disabled ","","AD/DNS or Base Windows","",0
"WinRegMon://hkcu_run","hive "," \\REGISTRY\\USER\\.*\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\.*","[WinRegMon://hkcu_run]#SEP#disabled = 1#SEP#hive = \\REGISTRY\\USER\\.*\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\.*#SEP#proc = .*#SEP#type = set|create|delete|rename",false,0,"WinRegMon - Registry Data ",WinRegMon,"hkcu_run","1
hive = \\REGISTRY\\USER\\.*\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\.*
proc = .*
type = set|create|delete|rename","WinRegMon://hkcu_run#hive ","","AD/DNS or Base Windows","",1
"WinRegMon://hkcu_run","proc "," .*","[WinRegMon://hkcu_run]#SEP#disabled = 1#SEP#hive = \\REGISTRY\\USER\\.*\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\.*#SEP#proc = .*#SEP#type = set|create|delete|rename",false,0,"WinRegMon - Registry Data ",WinRegMon,"hkcu_run","1
hive = \\REGISTRY\\USER\\.*\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\.*
proc = .*
type = set|create|delete|rename","WinRegMon://hkcu_run#proc ","","AD/DNS or Base Windows","",2
"WinRegMon://hkcu_run","type "," set|create|delete|rename","[WinRegMon://hkcu_run]#SEP#disabled = 1#SEP#hive = \\REGISTRY\\USER\\.*\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\.*#SEP#proc = .*#SEP#type = set|create|delete|rename",false,0,"WinRegMon - Registry Data ",WinRegMon,"hkcu_run","1
hive = \\REGISTRY\\USER\\.*\\Software\\Microsoft\\Windows\\CurrentVersion\\Run\\.*
proc = .*
type = set|create|delete|rename","WinRegMon://hkcu_run#type ","","AD/DNS or Base Windows","",3
"WinRegMon://default","disabled "," 1","[WinRegMon://default]#SEP#disabled = 1#SEP#hive = .*#SEP#proc = .*#SEP#type = rename|set|delete|create",false,0,"WinRegMon - Registry Data ",WinRegMon,default,"1
hive = .*
proc = .*
type = rename|set|delete|create","WinRegMon://default#disabled ","","AD/DNS or Base Windows","",0
"WinRegMon://default","hive "," .*","[WinRegMon://default]#SEP#disabled = 1#SEP#hive = .*#SEP#proc = .*#SEP#type = rename|set|delete|create",false,0,"WinRegMon - Registry Data ",WinRegMon,default,"1
hive = .*
proc = .*
type = rename|set|delete|create","WinRegMon://default#hive ","","AD/DNS or Base Windows","",1
"WinRegMon://default","proc "," .*","[WinRegMon://default]#SEP#disabled = 1#SEP#hive = .*#SEP#proc = .*#SEP#type = rename|set|delete|create",false,0,"WinRegMon - Registry Data ",WinRegMon,default,"1
hive = .*
proc = .*
type = rename|set|delete|create","WinRegMon://default#proc ","","AD/DNS or Base Windows","",2
"WinRegMon://default","type "," rename|set|delete|create","[WinRegMon://default]#SEP#disabled = 1#SEP#hive = .*#SEP#proc = .*#SEP#type = rename|set|delete|create",false,0,"WinRegMon - Registry Data ",WinRegMon,default,"1
hive = .*
proc = .*
type = rename|set|delete|create","WinRegMon://default#type ","","AD/DNS or Base Windows","",3
"admon://default","disabled "," 1","[admon://default]#SEP#disabled = 1#SEP#monitorSubtree = 1",false,0,"admon - ActiveDirectory Admon Data ",admon,default,"1
monitorSubtree = 1","admon://default#disabled ","","AD/DNS or Base Windows","",0
"admon://default","monitorSubtree "," 1","[admon://default]#SEP#disabled = 1#SEP#monitorSubtree = 1",false,0,"admon - ActiveDirectory Admon Data ",admon,default,"1
monitorSubtree = 1","admon://default#monitorSubtree ","","AD/DNS or Base Windows","",1
