AD_Obj_User-base_in,AD_Obj_User-base_out,AD_Obj_Group-base_in,AD_Obj_Group-base_out,AD_Obj_Computer-base_in,AD_Obj_Computer-base_out,AD_Obj_OU-base_in,AD_Obj_OU-base_out,AD_Obj_GPO-base_in,AD_Obj_GPO-base_out
cn,cn,cn,cn,cn,cn,cn,cn,cn,cn
OU,OU,OU,OU,OU,OU,dSCorePropagationData,dSCorePropagationData,dSCorePropagationData,dSCorePropagationData
accountExpires,accountExpires,adminCount,adminCount,accountExpires,accountExpires,description,description,displayName,displayName
adminCount,adminCount,dSCorePropagationData,dSCorePropagationData,badPasswordTime,badPasswordTime,displayName,displayName,distinguishedName,distinguishedName
badPasswordTime,badPasswordTime,dcName,dcName,badPwdCount,badPwdCount,distinguishedName,distinguishedName,dn,dn
badPwdCount,badPwdCount,description,description,codePage,codePage,gPLink,gPLink,flags,flags
codePage,codePage,displayName,displayName,countryCode,countryCode,gpo,gpo,guid_lookup,guid_lookup
countryCode,countryCode,distinguishedName,distinguishedName,dcName,dcName,guid_lookup,guid_lookup,gPCFileSysPath,gPCFileSysPath
dcName,dcName,groupType,groupType,dNSHostName,dNSHostName,host,host,gPCFunctionalityVersion,gPCFunctionalityVersion
dSCorePropagationData,dSCorePropagationData,groupType_Name,groupType_Name,dSCorePropagationData,dSCorePropagationData,instanceType,instanceType,gPCMachineExtensionNames,gPCMachineExtensionNames
department,department,guid_lookup,guid_lookup,description,description,isCriticalSystemObject,isCriticalSystemObject,host,host
description,description,instanceType,instanceType,displayName,displayName,isDeleted,isDeleted,instanceType,instanceType
displayName,displayName,isCriticalSystemObject,isCriticalSystemObject,distinguishedName,distinguishedName,isRecycled,isRecycled,isCriticalSystemObject,isCriticalSystemObject
distinguishedName,distinguishedName,isDeleted,isDeleted,instanceType,instanceType,lastKnownParent,lastKnownParent,name,name
givenName,givenName,isRecycled,isRecycled,isCriticalSystemObject,isCriticalSystemObject,managedBy,managedBy,objectCategory,objectCategory
guid_lookup,guid_lookup,lastKnownParent,lastKnownParent,isDeleted,isDeleted,name,name,objectClass,objectClass
initials,initials,managedBy,managedBy,isRecycled,isRecycled,objectCategory,objectCategory,objectGUID,objectGUID
instanceType,instanceType,member,member,lastKnownParent,lastKnownParent,objectClass,objectClass,showInAdvancedViewOnly,showInAdvancedViewOnly
isCriticalSystemObject,isCriticalSystemObject,memberOf,memberOf,lastLogon,lastLogon,objectGUID,objectGUID,systemFlags,systemFlags
isDeleted,isDeleted,membercount,membercount,lastLogonTimestamp,lastLogonTimestamp,ou,ou,uSNChanged,uSNChanged
isRecycled,isRecycled,name,name,localPolicyFlags,localPolicyFlags,revision,revision,uSNCreated,uSNCreated
lastKnownParent,lastKnownParent,objectCategory,objectCategory,logonCount,logonCount,showInAdvancedViewOnly,showInAdvancedViewOnly,versionNumber,versionNumber
lastLogon,lastLogon,objectClass,objectClass,managedBy,managedBy,systemFlags,systemFlags,whenChanged,whenChanged
lastLogonTimestamp,lastLogonTimestamp,objectGUID,objectGUID,memberOf,memberOf,uSNChanged,uSNChanged,whenCreated,whenCreated
lockoutTime,lockoutTime,objectSid,objectSid,msDFSR-ComputerReferenceBL,msDFSR-ComputerReferenceBL,uSNCreated,uSNCreated,lastKnownParent,lastKnownParent
logonCount,logonCount,primaryGroupToken,primaryGroupToken,msDS-SupportedEncryptionTypes,msDS-SupportedEncryptionTypes,versionNumber,versionNumber,isRecycled,isRecycled
logonHours,logonHours,sAMAccountName,sAMAccountName,name,name,whenChanged,whenChanged,isDeleted,isDeleted
managedBy,managedBy,sAMAccountType,sAMAccountType,objectCategory,objectCategory,whenCreated,whenCreated,DomainDNSName,DomainDNSName
memberOf,memberOf,sid_lookup,sid_lookup,objectClass,objectClass,st,st,deletedDate,deletedDate
msDS-SupportedEncryptionTypes,msDS-SupportedEncryptionTypes,systemFlags,systemFlags,objectGUID,objectGUID,l,l,last_evt_flg,domain
name,name,uSNChanged,uSNChanged,objectSid,objectSid,c,c,lc,last_evt_flg
objectCategory,objectCategory,uSNCreated,uSNCreated,operatingSystem,operatingSystem,DomainDNSName,DomainDNSName,,lc
objectClass,objectClass,whenChanged,whenChanged,operatingSystemServicePack,operatingSystemServicePack,deletedDate,deletedDate,,src_nt_domain 
objectGUID,objectGUID,whenCreated,whenCreated,operatingSystemVersion,operatingSystemVersion,dn,dn,,
objectSid,objectSid,st,st,primaryGroupID,primaryGroupID,dn_path,dn_path,,
physicalDeliveryOfficeName,physicalDeliveryOfficeName,l,l,pwdLastSet,pwdLastSet,last_evt_flg,domain,,
postalCode,postalCode,c,c,rIDSetReferences,rIDSetReferences,Linked_GPO,last_evt_flg,,
primaryGroupID,primaryGroupID,DomainDNSName,DomainDNSName,sAMAccountName,sAMAccountName,,Linked_GPO,,
pwdLastSet,pwdLastSet,deletedDate,deletedDate,sAMAccountType,sAMAccountType,,q_link_id,,
sAMAccountName,sAMAccountName,dn,dn,serverReferenceBL,serverReferenceBL,,src_nt_domain,,
sAMAccountType,sAMAccountType,dn_path,dn_path,servicePrincipalName,servicePrincipalName,,dn_hist_hold,,
servicePrincipalName,servicePrincipalName,last_evt_flg,domain,sid_lookup,sid_lookup,,orig_evt_dn,,
sid_lookup,sid_lookup,,last_evt_flg,uSNChanged,uSNChanged,,,,
showInAdvancedViewOnly,showInAdvancedViewOnly,,q_link_id,uSNCreated,uSNCreated,,,,
sn,sn,,src_nt_domain,userAccountControl,userAccountControl,,,,
streetAddress,streetAddress,,dn_hist_hold,whenChanged,whenChanged,,,,
title,title,,orig_evt_dn,whenCreated,whenCreated,,,,
uSNChanged,uSNChanged,,,st,st,,,,
uSNCreated,uSNCreated,,,l,l,,,,
userAccountControl,userAccountControl,,,c,c,,,,
userPrincipalName,userPrincipalName,,,DomainDNSName,DomainDNSName,,,,
userWorkstations,userWorkstations,,,deletedDate,deletedDate,,,,
whenChanged,whenChanged,,,dn,dn,,,,
whenCreated,whenCreated,,,dn_path,dn_path,,,,
st,st,,,last_evt_flg,domain,,,,
l,l,,,,last_evt_flg,,,,
c,c,,,,q_link_id,,,,
DomainDNSName,DomainDNSName,,,,src_nt_domain,,,,
deletedDate,deletedDate,,,,uac_bin_map,,,,
dn,dn,,,,uac_details,,,,
dn_path,dn_path,,,,dn_hist_hold,,,,
last_evt_flg,domain,,,,orig_evt_dn,,,,
,last_evt_flg,,,,,,,,
,q_link_id,,,,,,,,
,src_nt_domain,,,,,,,,
,uac_bin_map,,,,,,,,
,uac_details,,,,,,,,
,dn_hist_hold,,,,,,,,
,orig_evt_dn,,,,,,,,
