savedsearch_name,mitre_technique_id,mitre_technique,mitre_tactic,confidence
AD Objects - Windows Performance - Process CPU,N/A,N/A,N/A,n/a
AD Objects - Windows Performance - Procces Threads,N/A,N/A,N/A,n/a
AD Objects - Audit - Modified - Computers,T1098,Account Manipulation,Persistence,high
AD Objects - Audit - Modified - Users,T1098,Account Manipulation,Persistence,high
AD Objects - Audit - Changes - Group All,T1098,Account Manipulation,Persistence,high
AD Objects - Audit - Changes - Group Membership Add,T1098,Account Manipulation,Persistence,high
AD Objects - Audit - Changes - Group Membership Remove,T1098|T1531,Account Manipulation|Account Access Removal,Persistence|Impact,medium
AD Objects - Membership - All,T1069.002,Domain Groups,Discovery,low
AD Objects - Membership - User,T1069.002|T1087.002,Domain Groups|Domain Account,Discovery,low
AD Objects - Membership - Computer,T1069.002|T1018,Domain Groups|Remote System Discovery,Discovery,low
AD Objects - Membership - Group,T1069.002,Domain Groups,Discovery,low
AD Objects - Membership - Individual Group,T1069.002,Domain Groups,Discovery,low
temp_build_inputs_lookup,N/A,N/A,N/A,n/a
AD Objects - File ACL - Full List,T1222.001,Windows File and Directory Permissions Modification,Defense Evasion,medium
AD Objects - File ACL - Summary,T1222.001,Windows File and Directory Permissions Modification,Defense Evasion,medium
AD Objects - File Audit - Detailed View,T1222.001|T1083,Windows File and Directory Permissions Modification|File and Directory Discovery,Defense Evasion|Discovery,medium
AD Objects - File Audit - Top 10 Obj Path,T1222.001|T1083,Windows File and Directory Permissions Modification|File and Directory Discovery,Defense Evasion|Discovery,low
AD Objects - File Audit - Top 10 User  and Obj Path,T1222.001|T1083,Windows File and Directory Permissions Modification|File and Directory Discovery,Defense Evasion|Discovery,low
AD Objects - File Audit - Top 10 Path and Type,T1222.001|T1083,Windows File and Directory Permissions Modification|File and Directory Discovery,Defense Evasion|Discovery,low
AD Objects - Config - KVstore - Configuration,N/A,N/A,N/A,n/a
AD Objects - Verify Baseline Data - Completed,N/A,N/A,N/A,n/a
AD Objects - Verify Baseline Data - Overall,N/A,N/A,N/A,n/a
AD Objects - Verify Baseline Data - ManualTime,N/A,N/A,N/A,n/a
AD_Obj_Domain_Update,N/A,N/A,N/A,n/a
AD_Obj_Group_ReBuild,N/A,N/A,N/A,n/a
